Index,Gene
525,NPR2
526,SEC24A
527,PFN2
528,CACNA1S
529,CAPZA2
530,FBLN2
531,SMARCB1
532,PHC2
533,MEX3D
534,MAP7D1
535,TNFRSF10B
536,KCNT1
537,SMARCA4
538,IFNAR2
539,ASB17
540,HGF
541,STON1-GTF2A1L
542,MTM1
543,VCY
544,BAX
545,PLCG1
546,STARD3
547,BTBD6
548,ZNF674
549,ZNF575
550,LOC649330
551,UBLCP1
552,DPP10
553,KLHL38
554,ACTL6A
555,KRCC1
556,WNT7A
557,PELI2
558,RNF123
559,RLF
560,NQO2
561,C11ORF95
562,KLRD1
563,PKIG
564,DZIP1L
565,DRD3
566,ACBD7
567,METTL11A
568,HYLS1
569,PXDC1
570,MT1G
571,ADAD2
572,SLC6A18
573,TMEM208
574,BRPF3
575,IRF2BP2
576,NKD1
577,ESYT2
578,TBC1D5
579,GLB1L2
580,LINGO4
581,GHSR
582,IFI35
583,OR6A2
584,H2AFZ
585,DCAF13
586,NAPA
587,FCGR1A
588,SNX10
589,CCBP2
590,CHP
591,LDHAL6A
592,PLOD2
593,FAM21A
594,HNRNPUL1
595,PRSS16
596,BCL2L11
597,IZUMO4
598,BICC1
599,TBL3
600,DDX51
601,RIN1
602,ZNF841
603,EDAR
604,PLXNB3
605,ASPM
606,CYTH4
607,OXA1L
608,TAF7
609,SLC13A4
610,TPM2
611,C12ORF26
612,CUL1
613,DEFB1
614,POLR2J
615,CXORF40B
616,CD63
617,FAM13B
618,RBM34
619,POC1B
620,SLC38A5
621,KIAA1109
622,ELP3
623,COX6B2
624,TUBD1
625,ZBED6
626,NT5DC2
627,AZU1
628,APOL6
629,PDDC1
630,ARHGAP22
631,KIAA1407
632,C1ORF100
633,KLF10
634,OR2A25
635,OR6K2
636,HHAT
637,DAZ1
638,LILRB5
639,CCHCR1
640,MORN4
641,NIN
642,CCNB3
643,SOX6
644,RPL39L
645,MIS12
646,KDM4D
647,TRAM1L1
648,CSNK2A1P
649,MFSD4
650,SH3BP2
651,JAKMIP2
652,MARK4
653,HTN3
654,PLSCR2
655,SUGP1
656,FAT3
657,AGPAT5
658,DDX18
659,BNC1
660,HTR1A
661,FAM53A
662,TNFAIP8
663,TM6SF1
664,CHD4
665,SLC22A31
666,FTH1
667,PTPRM
668,MEF2C
669,KRTAP4-11
670,SYNPO2
671,RPL3
672,C19ORF75
673,DAB1
674,OR2T1
675,ATP2C2
676,EYS
677,GABRA1
678,SH3BP1
679,OR6C70
680,RBP4
681,SPTSSA
682,PNISR
683,CHIC1
684,MYBL1
685,NPFF
686,RPS23
687,PNCK
688,C10ORF57
689,MSX2
690,ZNFX1
691,CAMSAP3
692,CREB3L2
693,ISM2
694,KLRK1
695,DMXL1
696,ITFG1
697,GABRR2
698,PDE12
699,WIPF1
700,OR2Y1
701,BSPRY
702,GRM2
703,ALDH9A1
704,OMD
705,FAM123A
706,ROBO2
707,OBFC1
708,RPS6
709,ARL9
710,UBP1
711,ZWINT
712,SERPINI2
713,POLR1C
714,ARL15
715,CEBPE
716,LIPM
717,SSH3
718,PPP1R10
719,SERINC2
720,PCDHA9
721,TRIM62
722,PRPF38B
723,FAP
724,DLX4
725,CENPL
726,MYOM1
727,APOL4
728,TACC2
729,ZNF195
730,ATP8B1
731,ZNF84
732,EPHA2
733,ACPL2
734,DHX36
735,TUBB1
736,CXORF27
737,ADPGK
738,C1ORF162
739,EEF1D
740,PARP3
741,TSN
742,C4ORF22
743,TBL1Y
744,NBPF7
745,APEX1
746,FNDC1
747,TPST1
748,CIC
749,PPP4C
750,NKG7
751,TEAD1
752,CTH
753,RPS6KB2
754,RBPJ
755,RUNX1
756,SMARCC2
757,ANAPC2
758,BHMT2
759,APOPT1
760,HIST1H4E
761,C11ORF88
762,RPS11
763,AVPI1
764,GDNF
765,THRAP3
766,CHRM2
767,KRTAP10-4
768,USP3
769,RORC
770,IKZF2
771,LOC100329135
772,HDAC10
773,PTCRA
774,EXD2
775,GDF2
776,IDH3G
777,IMPAD1
778,CALHM2
779,SMOC1
780,ARL17A
781,NHP2
782,BSG
783,PTHLH
784,CYP20A1
785,DNAJC12
786,TXLNA
787,GLUD1
788,FRA10AC1
789,OAZ3
790,C1QTNF9
791,SCO1
792,LOC100130705
793,RPS4X
794,RCE1
795,COL18A1
796,SF3B14
797,UBN1
798,KRTAP9-9
799,MCART6
800,HIST2H3D
801,RD3
802,KLF1
803,ADAMTS18
804,SERPINB6
805,SEPT14
806,DOK5
807,MIS18BP1
808,NRXN1
809,C1ORF141
810,HSPE1-MOB4
811,CNTRL
812,MCM5
813,OGFOD1
814,GPR61
815,MRPL54
816,UBE2D2
817,BLNK
818,C6ORF57
819,LONRF3
820,IFIT1B
821,ALG9
822,ZNF664-FAM101A
823,PDK3
824,ZNF93
825,PLK4
826,ALDH16A1
827,NTRK3
828,AKT1S1
829,LTA4H
830,SFRP4
831,SRY
832,FLJ22184
833,MPP4
834,RPN2
835,RPP14
836,PCDH18
837,HPGDS
838,ZNF99
839,PAK4
840,SRPK3
841,AKD1
842,PER3
843,NUP133
844,C21ORF56
845,NUPL2
846,ACVRL1
847,NBN
848,PATZ1
849,RASL10B
850,PRSS8
851,LYPD4
852,MMP24
853,ZNF114
854,GAS2L1
855,SMAD1
856,HSD17B11
857,XPOT
858,COX4I2
859,RDH12
860,PCDHB15
861,UBE2W
862,LRRN4
863,TDGF1
864,MORC3
865,DYRK3
866,GSTZ1
867,ARHGAP28
868,SUFU
869,PSG3
870,MIA3
871,MEPE
872,CLCN6
873,GNPAT
874,PTGER1
875,PPID
876,DRAM1
877,ARHGAP42
878,SPINK8
879,GRHL3
880,ACRV1
881,CTTNBP2NL
882,HDAC11
883,OR13F1
884,ZDHHC18
885,RRP8
886,HIST1H3B
887,FAT2
888,C20ORF3
889,KDM5A
890,SLC3A2
891,ATP13A4
892,MYL12B
893,DPCR1
894,MARCH8
895,SNX33
896,NOMO2
897,BMP8A
898,CCDC25
899,GABRA3
900,ATP2A1
901,COX17
902,GZF1
903,ECI2
904,RHOBTB2
905,FAM104B
906,REN
907,LMX1A
908,BAZ2B
909,CEBPA
910,LPCAT4
911,ITPRIPL2
912,PJA2
913,NIPAL2
914,ALPK2
915,DHX58
916,NUPR1
917,GPR62
918,PSAP
919,BAMBI
920,KLF9
921,ZNF259
922,HIPK4
923,HES4
924,ZC3H8
925,SQRDL
926,CFI
927,SMCHD1
928,ADAMTSL5
929,OR6Q1
930,DUSP26
931,LRIF1
932,FHDC1
933,NUDT16L1
934,TNFAIP8L2-SCNM1
935,PI4K2A
936,SFTPA1
937,FAM162B
938,OR56A3
939,SLC15A1
940,FAM3A
941,COL11A1
942,POU3F4
943,TOPBP1
944,TMEM25
945,RGAG1
946,LRRC19
947,MAP3K2
948,CBLL1
949,MAX
950,EME2
951,NDUFB8
952,IL10RB
953,NSUN5
954,PRSS22
955,MBIP
956,SPOCK2
957,NRK
958,RASSF1
959,CCNI
960,OSBPL6
961,ATP7A
962,C4ORF27
963,TNFAIP6
964,MCMBP
965,RAD18
966,FAH
967,TNFSF9
968,CSAD
969,SNRPD1
970,PABPN1
971,RASSF6
972,ADRBK1
973,TSPYL1
974,FGFBP2
975,ZNF813
976,AWAT2
977,CELF4
978,POLR1B
979,ZNF41
980,BTBD9
981,FBXL21
982,RPL5
983,ANXA1
984,SOWAHA
985,FLNA
986,MB21D1
987,TTLL11
988,NT5E
989,LOC375190
990,RRN3
991,TMEM168
992,ITGA8
993,PPARGC1A
994,FLOT1
995,ACTL8
996,TNS1
997,C10ORF129
998,METTL7B
999,SFMBT2
1000,GOSR2
1001,PMS2
1002,XCL1
1003,ECSIT
1004,KRTAP1-5
1005,PROL1
1006,MT1E
1007,KCNB1
1008,CPSF2
1009,TCEB3CL
1010,MAMLD1
1011,ADD3
1012,DCAF15
1013,KCNK18
1014,ZDHHC11
1015,SNAPC2
1016,EPB41L3
1017,ADRM1
1018,NREP
1019,PLCXD2
1020,DDX47
1021,N4BP3
1022,FAM114A2
1023,RRAGB
1024,RABGGTA
1025,HEATR3
1026,LCORL
1027,BHLHA15
1028,SH2D4B
1029,TMEM160
1030,DECR1
1031,MGAT1
1032,ITM2B
1033,KIAA0895L
1034,TARS2
1035,OVCH1
1036,LRP5L
1037,WTAP
1038,TMEM87B
1039,GEMIN4
1040,HLTF
1041,HESX1
1042,HSD17B4
1043,PCBP4
1044,TTI2
1045,MED30
1046,TAOK2
1047,TSC1
1048,MRPL35
1049,YIPF5
1050,LNX2
1051,S100A12
1052,ATP9B
1053,TIMMDC1
1054,MTSS1L
1055,C16ORF88
1056,SYNPO
1057,IMPDH1
1058,C6ORF52
1059,SAMD10
1060,LYZL1
1061,PYDC2
1062,ECM2
1063,FGF14
1064,NEFH
1065,H6PD
1066,HMSD
1067,ORC1
1068,TEX14
1069,DEFB126
1070,NFU1
1071,RPL26L1
1072,BLCAP
1073,TMEM229B
1074,ADCY2
1075,TNR
1076,AQP10
1077,ALDH3A1
1078,MAGEB1
1079,ZBTB7B
1080,TCF3
1081,EPHA7
1082,PPFIA1
1083,B3GALT1
1084,MORC4
1085,PPP1R14D
1086,SLC25A35
1087,C12ORF75
1088,ZNF416
1089,LIPH
1090,TNFSF14
1091,SNAP25
1092,RNF222
1093,SLC26A1
1094,BAG4
1095,ANGPTL7
1096,ST8SIA4
1097,ELF1
1098,NOD2
1099,OR4D1
1100,KIAA1468
1101,ZNF23
1102,FHL3
1103,GRINA
1104,OPRM1
1105,SKP2
1106,LSM10
1107,APITD1
1108,DLGAP1
1109,LOC440335
1110,CTNNBL1
1111,PDPK1
1112,TRIT1
1113,APCDD1
1114,IFIT3
1115,C20ORF196
1116,NEK11
1117,CHST7
1118,RAP1B
1119,CISD3
1120,LETM1
1121,CPNE1
1122,B4GALT5
1123,USP2
1124,RPS17
1125,ACAP2
1126,CTSB
1127,TDG
1128,EIF4EBP1
1129,FHIT
1130,UBA52
1131,SNX20
1132,CXCL2
1133,SYVN1
1134,IKBKE
1135,TPT1
1136,PCSK1
1137,CLVS2
1138,IL10
1139,SEPT10
1140,EEF2
1141,TH
1142,PSME1
1143,HIST1H2BO
1144,SIAH2
1145,VPS54
1146,OR2T6
1147,ASB18
1148,PRDX3
1149,KCNJ15
1150,ADAM8
1151,NLGN3
1152,BRD7
1153,HSD11B1
1154,ZC3H14
1155,ARV1
1156,MAPK8IP3
1157,STAM2
1158,EIF3E
1159,TRAF7
1160,CYP4F3
1161,PRAMEF19
1162,ZNF808
1163,TMEM194B
1164,PCDHB8
1165,FANCM
1166,RRBP1
1167,GRIK2
1168,ZNF234
1169,PSMD11
1170,SETDB1
1171,FAM174B
1172,TSEN34
1173,ZNF124
1174,LRRC73
1175,FUCA1
1176,PPCS
1177,UGT2A3
1178,SOCS1
1179,ILDR1
1180,C3ORF33
1181,GRAP
1182,THADA
1183,PUS1
1184,SLC24A5
1185,GNG12
1186,BCMO1
1187,ZNF479
1188,ADRA2B
1189,RECK
1190,KRTAP2-4
1191,KIF19
1192,TPST2
1193,MT3
1194,KIF16B
1195,IQSEC3
1196,CNTN6
1197,AMHR2
1198,ARHGAP26
1199,GPX2
1200,ALDOB
1201,GARS
1202,NAGA
1203,RARRES2
1204,HIBCH
1205,RDX
1206,PLXDC2
1207,PIP5K1B
1208,HINT3
1209,EIF4G2
1210,XKR4
1211,LOC100129924
1212,RIMS1
1213,DTX1
1214,COX8C
1215,KIAA0753
1216,FAM161A
1217,KIAA1429
1218,MOAP1
1219,ZZEF1
1220,AATK
1221,AEN
1222,NEDD9
1223,C17ORF58
1224,RIMS2
1225,LETM2
1226,TRIM49L1
1227,CDS2
1228,RNASE13
1229,BLVRB
1230,SSBP2
1231,TSR1
1232,ADORA2B
1233,IL26
1234,HELQ
1235,PYHIN1
1236,NDUFS6
1237,MIPEP
1238,EME1
1239,ZNF613
1240,RGS18
1241,NME1
1242,MAGIX
1243,PP2D1
1244,PLDN
1245,HEATR6
